mental_state,model,n_trials,n_correct,accuracy
Afraid,claude-opus-4-5,6,3,0.5
Afraid,gemini-3-flash,18,11,0.6111111111111112
Afraid,gpt-5,6,4,0.6666666666666666
Afraid,gpt-5-mini,6,2,0.3333333333333333
Afraid Low Intensity,claude-opus-4-5,6,6,1.0
Afraid Low Intensity,gemini-3-flash,18,11,0.6111111111111112
Afraid Low Intensity,gpt-5,6,5,0.8333333333333334
Afraid Low Intensity,gpt-5-mini,6,4,0.6666666666666666
Angry,claude-opus-4-5,2,0,0.0
Angry,gemini-3-flash,6,2,0.3333333333333333
Angry,gpt-5,2,0,0.0
Angry,gpt-5-mini,2,2,1.0
Angry Low Intensity,claude-opus-4-5,2,1,0.5
Angry Low Intensity,gemini-3-flash,6,6,1.0
Angry Low Intensity,gpt-5,2,2,1.0
Angry Low Intensity,gpt-5-mini,2,2,1.0
Ashamed,claude-opus-4-5,6,5,0.8333333333333334
Ashamed,gemini-3-flash,18,10,0.5555555555555556
Ashamed,gpt-5,6,5,0.8333333333333334
Ashamed,gpt-5-mini,6,4,0.6666666666666666
Bored,claude-opus-4-5,7,3,0.42857142857142855
Bored,gemini-3-flash,21,18,0.8571428571428571
Bored,gpt-5,7,4,0.5714285714285714
Bored,gpt-5-mini,7,5,0.7142857142857143
Disappointed,claude-opus-4-5,8,6,0.75
Disappointed,gemini-3-flash,24,16,0.6666666666666666
Disappointed,gpt-5,8,5,0.625
Disappointed,gpt-5-mini,8,4,0.5
Disgusted,claude-opus-4-5,5,5,1.0
Disgusted,gemini-3-flash,15,13,0.8666666666666667
Disgusted,gpt-5,5,5,1.0
Disgusted,gpt-5-mini,5,5,1.0
Disgusted Low Intensity,claude-opus-4-5,6,4,0.6666666666666666
Disgusted Low Intensity,gemini-3-flash,18,16,0.8888888888888888
Disgusted Low Intensity,gpt-5,6,5,0.8333333333333334
Disgusted Low Intensity,gpt-5-mini,6,6,1.0
Excited,claude-opus-4-5,6,5,0.8333333333333334
Excited,gemini-3-flash,18,14,0.7777777777777778
Excited,gpt-5,6,5,0.8333333333333334
Excited,gpt-5-mini,6,5,0.8333333333333334
